name,rating,store,cost,category,expected_lifespan_in_years,lifetime_earnings,lifetime_cost,net_profit,total_net_profit
Talking Tom Bubble Shooter,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
The CW,4.4,Google,0,Entertainment,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
The CW,4.5,Apple,0,Entertainment,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
WhatsApp Messenger,4.4,Google,0,Communication,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
WhatsApp Messenger,4.5,Apple,0,Social Networking,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Yahoo Weather,4.4,Google,0,Weather,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Yahoo Weather,4.5,Apple,0,Weather,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Zombie Tsunami,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Zombie Tsunami,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Earn to Die 2,4.5,Apple,1.99,Games,10,"$300,000.00 ","$79,900.00 ","$220,100.00 ","$454,900.00 "
Earn to Die 2,4.6,Google,0,Games,11.2,"$306,000.00 ","$71,200.00 ","$234,800.00 ","$454,900.00 "
Afterlight,4.3,Google,0,Photography,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Afterlight,4.5,Apple,0.99,Photo & Video,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Angry Birds Star Wars,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Angry Birds Star Wars,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Bad Piggies,4.3,Google,0,Family,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
Bad Piggies,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$450,400.00 "
Doodle Jump,4.3,Google,0,Games,10.6,"$288,000.00 ","$67,600.00 ","$220,400.00 ","$450,400.00 "
